event_id,type,severity,message,timestamp
EVT-9,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862426
EVT-10,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776862430
EVT-11,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776862430
EVT-12,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862437
EVT-13,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776862439
EVT-14,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776862439
EVT-15,MODE_CHANGED,INFO,Switched to DISCOUNT,1776862441
EVT-16,MODE_CHANGED,INFO,Switched to ACTIVE,1776862444
EVT-17,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776862447
EVT-18,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776862447
EVT-19,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862449
EVT-20,MODE_CHANGED,INFO,Switched to DISCOUNT,1776862452
EVT-21,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862453
EVT-22,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776862457
EVT-23,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776862457
EVT-24,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862458
EVT-25,MODE_CHANGED,INFO,Switched to ACTIVE,1776862464
EVT-26,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776862471
EVT-27,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776862471
EVT-28,INVENTORY_ACCESS,INFO,Reserved 9 of 101,1776862476
EVT-29,LOW_STOCK,WARNING,Product Paracetamol is running low.,1776862477
EVT-30,INVENTORY_ACCESS,INFO,Reserved 9 of 101,1776862477
EVT-31,INVENTORY_ACCESS,INFO,Reserved 9 of 101,1776862478
EVT-32,TRANSACTION_FAILED,WARNING,Could not reserve item 101,1776862478
EVT-33,INVENTORY_ACCESS,INFO,Reserved 9 of 101,1776862478
EVT-34,TRANSACTION_FAILED,WARNING,Could not reserve item 101,1776862478
EVT-35,INVENTORY_ACCESS,INFO,Updated stock for 101,1776862478
EVT-36,PURCHASE,INFO,User U123 purchased 101,1776862478
EVT-37,INVENTORY_ACCESS,INFO,Reserved 9 of 101,1776862478
EVT-38,TRANSACTION_FAILED,WARNING,Could not reserve item 101,1776862478
EVT-39,INVENTORY_ACCESS,INFO,Updated stock for 101,1776862479
EVT-40,PURCHASE,INFO,User U123 purchased 101,1776862479
EVT-41,INVENTORY_ACCESS,INFO,Reserved 9 of 101,1776862479
EVT-42,TRANSACTION_FAILED,WARNING,Could not reserve item 101,1776862479
EVT-43,MODE_CHANGED,INFO,Switched to ACTIVE,1776862483
EVT-44,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862528
EVT-45,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776862530
EVT-46,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776862530
EVT-47,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776862543
EVT-48,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776862543
EVT-49,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862549
EVT-50,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862549
EVT-51,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776862550
EVT-52,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776862550
EVT-53,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862566
EVT-54,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776862569
EVT-55,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776862569
EVT-1,MODE_CHANGED,INFO,Switched to ACTIVE,1776862970
EVT-2,MODE_CHANGED,INFO,Switched to DISCOUNT,1776863210
EVT-3,MODE_CHANGED,INFO,Switched to POWER_SAVING,1776863213
EVT-4,MODE_CHANGED,INFO,Switched to POWER_SAVING,1776863213
EVT-1,MODE_CHANGED,INFO,Switched to ACTIVE,1776863855
EVT-2,INVENTORY_ACCESS,INFO,Reserved 15 of 203,1776863860
EVT-3,INVENTORY_ACCESS,INFO,Updated stock for 203,1776863862
EVT-4,PURCHASE,INFO,User DEMO_USER purchased 203,1776863862
EVT-5,MODE_CHANGED,INFO,Switched to DISCOUNT,1776863903
EVT-6,LOW_STOCK,WARNING,Product Paracetamol is running low.,1776863926
EVT-7,INVENTORY_ACCESS,INFO,Reserved 1 of 101,1776863926
EVT-8,INVENTORY_ACCESS,INFO,Updated stock for 101,1776863928
EVT-9,PURCHASE,INFO,User DEMO_USER purchased 101,1776863928
EVT-10,INVENTORY_ACCESS,INFO,Reserved 1 of 201,1776863953
EVT-11,TRANSACTION_FAILED,WARNING,Could not reserve item 201,1776863953
EVT-12,MODE_CHANGED,INFO,Switched to ACTIVE,1776863963
EVT-13,MODE_CHANGED,INFO,Switched to POWER_SAVING,1776863967
EVT-14,MODE_CHANGED,INFO,Switched to POWER_SAVING,1776863995
EVT-15,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776864020
EVT-16,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776864020
EVT-17,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776864031
EVT-18,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776864118
EVT-1,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776864724
EVT-2,INVENTORY_ACCESS,INFO,Reserved 1 of 103,1776864751
EVT-3,INVENTORY_ACCESS,INFO,Updated stock for 103,1776864753
EVT-4,PURCHASE,INFO,User DEMO_USER purchased 103,1776864753
EVT-5,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776864769
EVT-6,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776864769
EVT-7,INVENTORY_ACCESS,INFO,Reserved 1 of 103,1776864774
EVT-8,INVENTORY_ACCESS,INFO,Updated stock for 103,1776864776
EVT-9,PURCHASE,INFO,User DEMO_USER purchased 103,1776864776
EVT-10,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776864783
EVT-11,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776864783
EVT-12,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776864784
EVT-13,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776864784
EVT-14,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776864785
EVT-15,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776864785
EVT-16,MODE_CHANGED,INFO,Switched to ACTIVE,1776864797
EVT-1,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776865039
EVT-2,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776865039
EVT-3,MODE_CHANGED,INFO,Switched to ACTIVE,1776865067
EVT-4,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776865112
EVT-1,INVENTORY_ACCESS,INFO,Reserved 1 of 102,1776865458
EVT-2,INVENTORY_ACCESS,INFO,Updated stock for 102,1776865460
EVT-3,PURCHASE,INFO,User DEMO_USER purchased 102,1776865460
EVT-1,TRANSACTION_FAILED,WARNING,Verification failed for user cxcxcx,1776865865
EVT-2,INVENTORY_ACCESS,INFO,Reserved 1 of 202,1776865884
EVT-3,INVENTORY_ACCESS,INFO,Updated stock for 202,1776865886
EVT-4,PURCHASE,INFO,User U123 purchased 202,1776865886
EVT-1,SYSTEM_RESET,INFO,Inventory has been reset to default state.,1776866527
EVT-2,MODE_CHANGED,INFO,Switched to ACTIVE,1776866541
EVT-1,INVENTORY_ACCESS,INFO,Reserved 1 of 103,1777190741
EVT-2,INVENTORY_ACCESS,INFO,Updated stock for 103,1777190743
EVT-3,PURCHASE,INFO,User U123 purchased 103,1777190743
EVT-1,MODE_CHANGED,INFO,Switched to DISCOUNT,1777198248
EVT-2,MODE_CHANGED,INFO,Switched to POWER_SAVING,1777198252
EVT-3,MODE_CHANGED,INFO,Switched to DISCOUNT,1777198254
EVT-4,LOW_STOCK,WARNING,Product Insulin is running low.,1777198261
EVT-5,INVENTORY_ACCESS,INFO,Reserved 8 of 102,1777198261
EVT-6,INVENTORY_ACCESS,INFO,Updated stock for 102,1777198263
EVT-7,PURCHASE,INFO,User U123 purchased 102,1777198263
EVT-8,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1777198275
EVT-9,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1777198275
EVT-10,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1777198278
EVT-11,LOW_STOCK,WARNING,Product Insulin is running low.,1777198302
EVT-12,INVENTORY_ACCESS,INFO,Reserved 1 of 102,1777198302
EVT-13,INVENTORY_ACCESS,INFO,Updated stock for 102,1777198304
EVT-14,PURCHASE,INFO,User U123 purchased 102,1777198304
EVT-15,MODE_CHANGED,INFO,Switched to ACTIVE,1777198339
EVT-16,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1777198414
EVT-17,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1777198414
EVT-18,MODE_CHANGED,INFO,Switched to DISCOUNT,1777198439
EVT-19,MODE_CHANGED,INFO,Switched to POWER_SAVING,1777198441
EVT-20,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1777198443
EVT-21,MODE_CHANGED,INFO,Switched to ACTIVE,1777198453
EVT-22,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1777198772
EVT-23,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1777198772
EVT-1,LOW_STOCK,WARNING,Product Insulin is running low.,1777199440
EVT-2,INVENTORY_ACCESS,INFO,Reserved 1 of 102,1777199440
EVT-3,INVENTORY_ACCESS,INFO,Updated stock for 102,1777199442
EVT-4,PURCHASE,INFO,User U123 purchased 102,1777199442
EVT-5,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1777199454
EVT-6,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1777199454
EVT-1,LOW_STOCK,WARNING,Product Paracetamol is running low.,1777199669
EVT-2,INVENTORY_ACCESS,INFO,Reserved 7 of 101,1777199669
EVT-3,INVENTORY_ACCESS,INFO,Updated stock for 101,1777199671
EVT-4,PURCHASE,INFO,User U123 purchased 101,1777199671
EVT-5,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1777199680
EVT-6,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1777199680
EVT-7,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1777199685
EVT-8,MODE_CHANGED,INFO,Switched to DISCOUNT,1777199690
EVT-9,MODE_CHANGED,INFO,Switched to POWER_SAVING,1777199694
